,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
38,"64.7505015807393,165.54810615272373","59.304638101896884,166.14719114785993","55.76455344114786,156.08270002431908","56.7623267266537,160.60068093385215","58.2905140442607,150.45718324416342","54.137839706955255,189.55982490272373","66.84370440175097,136.48850924124514","88.3625972762646,65.97144789640078","86.03836332684826,215.7883481274319","53.42237278088521,189.56449112354085","49.74817607003891,192.5695981274319","123.5713688594358,218.21739725194553","115.81059247324903,182.71624209630352","203.43658803501947,185.23828125","188.33247203307394,91.548250547179","50.46229024805447,204.56967412451363","51.167189779912455,204.56522069552528",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped\2_83.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped,2
34,"64.32346637889106,166.43002188715954","59.64014241853113,166.3655763618677","55.38524440661479,155.45707684824902","57.79047224586576,160.97856882295721","58.854602383268485,150.14817910992218","55.49312226410506,189.55330435311285","66.38570798881324,135.60273285505838","85.7872157709144,67.74095634727627","85.38907465953308,66.8528848492218","115.34352200875486,97.34803623540856","118.1743829036965,96.06060767266537","124.76060159289884,216.1122324902724","116.51871048151752,180.75603416828795","187.66000425583658,89.67395732003891","188.12344965953307,87.82525231031128","51.33082669625487,204.1088734192607","49.491153939688715,188.38691634241246",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped\3_89.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped,3
31,"63.669211302285994,165.70209143968873","59.02125638375487,165.49285627431908","54.41755456590467,154.52086879863813","58.15785353842413,159.74747689688715","58.19276659776265,148.10141050583658","76.37110894941634,191.09107490272373","70.94146704766537,131.52957806420233","86.11904182879377,70.41670719844358","84.69392935311284,71.81033408317121","109.38152814931907,99.99698291585604","119.60669230301556,92.29499027237354","125.41415369649806,217.26130836575877","116.92640442607004,180.4908651507782","200.4505410992218,186.37129134241246","183.82225802529183,86.54272555933852","50.761574355544745,203.8427012402724","50.707107247081716,203.8943184581712",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped\4_95.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_flipped,4
33,"190.3195525291829,160.57900656614785","202.03667619163426,158.295719844358","195.7701392266537,168.42099343385215","195.276234192607,155.03722337062257","201.74037876945525,169.16032344357976","180.4951969844358,132.60631991731518","177.74682332198444,136.9729754377432","171.2101775291829,217.05675462062257","169.6436040856031,216.15780034046693","203.91068822957197,195.358219844358","199.93977991245137,195.84941938229574","126.06057727383269,218.4086819066148","122.97890321011673,144.39100498540856","164.83157526750972,216.10002735894943","171.2064840710117,215.71987475680933","193.88387645914398,213.69519090466926","192.97460177529183,214.03498905642024",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\0_71.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,0
36,"189.78881930933852,157.36583475194553","200.74654973249028,156.24919443093384","194.603204036965,157.94418774319067","195.53056602626458,155.18708961575877","200.21010153210116,163.95649927042803","181.3977231274319,132.18169382295721","178.00349586575877,136.65088460603113","170.38221972276264,217.57520671206225","169.24005958171207,216.46400778210116","203.62895184824902,194.18015868190662","199.63293409533074,194.8787998540856","152.62823747568095,217.2807028210117","156.43708961575877,218.98515017023345","164.31879255836577,216.5423607733463","171.53901690175098,216.06405034046693","194.15555082684824,214.44437013618676","155.7553805933852,222.10990697957197",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\1_77.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,1
35,"189.33197045233464,157.83672786964982","197.75755410992218,153.705921692607","194.52392388132296,158.20572410019454","195.5531827577821,155.49734010214007","200.1285870622568,163.48422300583658","181.38576118677042,131.96162147373542","177.68113144455253,136.77868129863813","170.6087670233463,216.53869771400778","170.05423151750972,218.2790612840467","202.40819552529183,191.467062864786","199.19532769941634,193.00012159533074","115.78424428501945,155.3300553258755","156.49957441634243,218.30792497568095","165.4932210603113,216.44237901264592","171.03682818579767,215.08706225680933","156.31356395914398,221.62016658560313","156.43128343871595,221.0570890077821",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\2_83.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,2
37,"189.09151568579767,157.93404973249028","200.07201483463035,155.50278149319067","194.21399258268482,157.81444552529183","190.86723309824902,145.7654426070039","199.713156614786,163.0606304717899","183.4594631566148,135.7810372081712","141.3594813959144,135.57014530642024","169.20157465953307,217.2885153210117","168.56233280642024,215.12156493190662","202.32848978599222,191.09750425583658","173.01240272373542,79.12153453307393","115.55190600680935,156.63261490758754","157.03918409533074,218.54944370136187","164.36312925583658,216.64275291828795","170.7789548881323,214.75513740272373","193.91068822957197,212.3407709143969","192.85939019941634,213.0396704766537",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\3_89.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,3
39,"193.80844175583658,161.2447714007782","200.1512949902724,155.4673212548638","196.73002796692606,167.7553349951362","194.63042619163426,155.7818579766537","196.4809703307393,161.5697653210117","184.05512828307394,137.40655398832686","168.34780824416342,135.48470938715954","169.12826787451363,216.9507994892996","169.48853964007782,215.75858767023345","205.18851836089493,193.4736594114786","174.6764348249027,83.63027419747081","127.11103933608949,218.28704097762648","124.59653909289884,172.6386946741245","166.57721303501947,214.94880836575877","171.7797756566148,215.9809703307393","192.06675583657588,215.03352991245137","191.13299489299612,214.9711819066148",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original\4_95.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_3_original,4
40,"70.18993190661479,164.23493737840468","64.6580967290856,165.04923090953307","59.322653210116734,154.22350741731518","57.4444423334144,160.95158985894943","59.12329006566148,152.97142509727627","51.83839600559339,188.8463339007782","63.9224297786965,137.29913971303503","87.71010913180935,63.39902267752918","87.25673334143968,62.43745820160506","118.8080921692607,96.11541676799611","119.92547726167315,93.2583672786965","124.65319491731518,221.39029061284046","117.17841074902724,180.9817910992218","55.35891901750973,207.8000668774319","52.40279973249027,222.58007052529183","51.33941056663424,205.06131444552528","51.27616959508755,204.3300249270428",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\0_36.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,0
41,"67.5612080496109,165.8863235651751","62.470942515807394,166.14506322957197","57.99358204644942,156.0094236381323","57.58845300340467,160.01822410019454","59.760005015807394,151.68075145914398","53.079394151264594,188.82333718385215","65.96510973978599,137.01317789396887","87.44474252188716,63.418033347519454","86.08385517996109,62.601862688472764","115.11149531857977,94.50991761916343","118.7245029790856,93.81641384970817","125.68879955009727,221.64716074902725","116.94795719844358,179.73317424610894","85.26089798151752,219.6225680933852","52.62164092898833,222.48224708171207","51.42035125851167,204.71370379377433","49.17363433244164,189.17641962548637",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\1_42.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,1
42,"65.83767783317121,166.30892813715954","61.60139150656615,166.15517084143968","56.884765625,156.3092473249027","57.89102778453307,160.06313837548637","59.85139530642024,151.9502219114786","53.37613235651751,188.0421783803502","65.88501641536965,137.44285019455253","87.52751094357977,63.87838187013619","86.17318974951363,217.27840770914398","115.36920902237354,93.9935858463035","117.55177681177042,93.27592260457199","125.04834174367704,220.36732429474708","117.84465436527238,180.07748662451363","85.06034168287938,220.64121777723736","51.169971273103116,223.70985834143968","134.82430994649806,190.55217959630352","140.47349221789884,225.69063107976655",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\2_48.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,2
43,"65.47784685068093,163.7458809581712","60.40774714250973,164.686390442607","55.32421115029183,155.04495987354085","56.767467929231515,160.6737749270428","59.856179322714006,152.74618494649806","53.66863372446498,190.5102444066148","70.02944126945525,135.81842777237355","87.38138375486382,64.86475559338521","81.75566938229572,68.92667041585604","114.70725924124514,94.58229723978599","117.54264196254864,93.91449568336576","124.86814506322958,221.0602048881323","116.00360986138132,180.71042071984436","53.99908423516537,208.95625607976655","50.637691512645915,223.08257842898834","50.95647267144942,205.05140442607004","49.07707244041829,188.94120865758754",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\3_54.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,3
48,"67.55725620136187,163.19968993190662","61.25920704644942,164.13457563229574","59.0947531614786,153.04421510214007","56.243072866001945,161.22844722762648","60.12483280642024,152.53965527723736","54.49613934824903,191.6236320525292","66.63468202821012,136.77234314202335","87.62101775291829,64.93727200875486","82.66462487840467,68.50834447957199","114.27983645428016,93.50106395914398","118.61962700632296,92.31417193579766","124.21472975437743,219.29696619649806","124.39501763132296,157.48612293287937","37.340075541099225,224.7696376459144","37.55091044503891,223.967640442607","50.81100665734436,205.20234982976655","51.06365135578794,204.9262828307393",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped\4_60.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_flipped,4
44,"189.09036053015564,159.9747993677043","199.1166403210117,155.05453550583658","193.79305994649806,159.63779790856032","195.46719965953307,155.27976045719845","196.76687135214007,161.56707502431908","178.74661053015564,131.118829036965","168.06541828793775,134.92904912451363","172.16030824416342,217.6011673151751","169.1398650291829,215.7852626459144","135.91114421206225,96.50706772859922","138.0704188959144,95.93778118920234","152.21449416342412,217.2411843385214","157.98066634241246,218.9466348492218","168.30795537451363,215.72647130350194","170.6685767266537,214.9277115758755","158.24758329280155,221.62063776750972","158.0818184581712,221.09657709143968",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\0_36.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,0
46,"189.22598492217898,160.2096759484436","199.4351288910506,154.95508572470817","195.39906067607004,167.28140199416342","191.37132174124514,146.13100376945525","197.42266536964982,161.11341804474708","177.41540004863813,130.36097093871595","168.8584478356031,134.93167862354085","171.76015321011673,216.80614664396887","169.02851410505838,215.99171631809338","136.3090953307393,97.91160019455253","138.372735286965,97.64290491245136","152.04394151264592,216.86534837062257","157.40185736867704,218.6138892266537","167.3960663910506,215.73898042315176","170.33972215466926,215.85505836575877","157.70640807392996,222.67719479571986","157.5824568336576,222.16018664883268",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\1_42.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,1
45,"189.41167619163426,160.05000607976655","198.98238387645915,155.03020124027236","194.70584569552528,159.67204219357976","195.518421692607,154.72466257295721","197.4066451848249,161.2580252918288","177.92766597762648,131.6341804474708","178.78390989785993,137.10400960603113","172.7152389348249,216.9669564688716","169.71511733949416,216.06093446011673","136.63301009241246,98.39013101896887","137.55760578793775,97.42180660262646","126.458140807393,217.85531675583658","157.1297270184825,218.14380167801556","169.64858949416342,216.08876459143968","170.80553866731518,216.10963339007782","192.63603477626458,214.7762949902724","191.92173820525292,214.7799580496109",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original\2_48.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_4_original,2
